extract_dt,region_id,market_name,category,commodity,price
<<<<<<< HEAD,,,,,
2026-02-14,170000000.0,CALAPAN CITY PUBLIC MARKET,Corn,"Corn (Yellow) - Cob, Sweet Corn",130.0
2026-02-14,170000000.0,PUERTO GALERA PUBLIC MARKET,Corn,"Corn (Yellow) - Cob, Sweet Corn",130.0
2026-02-14,170000000.0,PUERTO PRINCESA CITY NEW PUBLIC MARKET,Corn,"Corn (Yellow) - Cob, Sweet Corn",120.0
2026-02-14,170000000.0,BOAC PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",38.0
2026-02-14,170000000.0,BUENAVISTA PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",38.0
2026-02-14,170000000.0,CALAPAN CITY PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",35.0
2026-02-14,170000000.0,PUERTO GALERA PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",35.0
2026-02-14,170000000.0,PUERTO PRINCESA CITY NEW PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",38.0
2026-02-14,170000000.0,NARRA PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",32.0
2026-02-14,170000000.0,ROXAS PUBLIC MARKET - PALAWAN,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",34.0
2026-02-14,170000000.0,BROOKES POINT PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",28.0
2026-02-14,170000000.0,BOAC PUBLIC MARKET,Corn,Corn Grits (Feed Grade) - KG,38.0
2026-02-14,170000000.0,STA. CRUZ PUBLIC MARKET,Corn,Corn Grits (Feed Grade) - KG,40.0
2026-02-14,170000000.0,CALAPAN CITY PUBLIC MARKET,Corn,Corn Grits (Feed Grade) - KG,36.0
2026-02-14,170000000.0,PUERTO GALERA PUBLIC MARKET,Corn,Corn Grits (Feed Grade) - KG,36.0
2026-02-14,170000000.0,NARRA PUBLIC MARKET,Corn,Corn Grits (Feed Grade) - KG,32.0
2026-02-14,170000000.0,ROXAS PUBLIC MARKET - PALAWAN,Corn,Corn Grits (Feed Grade) - KG,38.0
2026-02-14,170000000.0,BROOKES POINT PUBLIC MARKET,Corn,Corn Grits (Feed Grade) - KG,33.0
=======,,,,,
>>>>>>> origin/main,,,,,
2026-02-14,170000000.0,BUENAVISTA PUBLIC MARKET,Legumes,Mungbean - KG,100.0
2026-02-14,170000000.0,MOGPOG PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-14,170000000.0,STA. CRUZ PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-14,170000000.0,CALAPAN CITY PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-14,170000000.0,PUERTO GALERA PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-14,170000000.0,PUERTO PRINCESA CITY NEW PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-14,170000000.0,NARRA PUBLIC MARKET,Legumes,Mungbean - KG,110.0
2026-02-14,170000000.0,BUENAVISTA PUBLIC MARKET,Legumes,Mungbean - KG,100.0
2026-02-14,170000000.0,MOGPOG PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-14,170000000.0,STA. CRUZ PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-14,170000000.0,CALAPAN CITY PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-14,170000000.0,PUERTO GALERA PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-14,170000000.0,PUERTO PRINCESA CITY NEW PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-14,170000000.0,NARRA PUBLIC MARKET,Legumes,Mungbean - KG,110.0
